Date/Time,Q 
7/1/2021 0:00,0.715
7/1/2021 0:30,0.715
7/1/2021 1:00,0.717
7/1/2021 1:30,0.71
7/1/2021 2:00,0.712
7/1/2021 2:30,0.717
7/1/2021 3:00,0.72
7/1/2021 3:30,0.715
7/1/2021 4:00,0.72
7/1/2021 4:30,0.723
7/1/2021 5:00,0.718
7/1/2021 5:30,0.72
7/1/2021 6:00,0.722
7/1/2021 6:30,0.725
7/1/2021 7:00,0.725
7/1/2021 7:30,0.723
7/1/2021 8:00,0.725
7/1/2021 8:30,0.725
7/1/2021 9:00,0.723
7/1/2021 9:30,0.72
7/1/2021 10:00,0.718
7/1/2021 10:30,0.717
7/1/2021 11:00,0.71
7/1/2021 11:30,0.707
7/1/2021 12:00,0.7
7/1/2021 12:30,0.695
7/1/2021 13:00,0.69
7/1/2021 13:30,0.771
7/1/2021 14:00,1.262
7/1/2021 14:30,1.79
7/1/2021 15:00,1.498
7/1/2021 15:30,1.449
7/1/2021 16:00,1.559
7/1/2021 16:30,1.516
7/1/2021 17:00,1.438
7/1/2021 17:30,1.366
7/1/2021 18:00,1.291
7/1/2021 18:30,1.228
7/1/2021 19:00,1.185
7/1/2021 19:30,1.138
7/1/2021 20:00,1.093
7/1/2021 20:30,1.051
7/1/2021 21:00,1.018
7/1/2021 21:30,0.999
7/1/2021 22:00,0.981
7/1/2021 22:30,0.964
7/1/2021 23:00,0.943
7/1/2021 23:30,0.931
7/2/2021 0:00,0.921
7/2/2021 0:30,0.909
7/2/2021 1:00,0.903
7/2/2021 1:30,0.892
7/2/2021 2:00,0.882
7/2/2021 2:30,0.873
7/2/2021 3:00,0.873
7/2/2021 3:30,0.867
7/2/2021 4:00,0.864
7/2/2021 4:30,0.857
7/2/2021 5:00,0.853
7/2/2021 5:30,0.849
7/2/2021 6:00,0.846
7/2/2021 6:30,0.842
7/2/2021 7:00,0.841
7/2/2021 7:30,0.834
7/2/2021 8:00,0.834
7/2/2021 8:30,0.83
7/2/2021 9:00,0.828
7/2/2021 9:30,0.826
7/2/2021 10:00,0.826
7/2/2021 10:30,0.819
7/2/2021 11:00,0.811
7/2/2021 11:30,0.809
7/2/2021 12:00,0.866
7/2/2021 12:30,1.097
7/2/2021 13:00,1.164
7/2/2021 13:30,1.068
7/2/2021 14:00,1.009
7/2/2021 14:30,1.001
7/2/2021 15:00,1.001
7/2/2021 15:30,1.043
7/2/2021 16:00,1.022
7/2/2021 16:30,0.99
7/2/2021 17:00,0.962
7/2/2021 17:30,0.949
7/2/2021 18:00,0.932
7/2/2021 18:30,0.918
7/2/2021 19:00,0.907
7/2/2021 19:30,0.9
7/2/2021 20:00,0.905
7/2/2021 20:30,0.94
7/2/2021 21:00,0.943
7/2/2021 21:30,0.931
7/2/2021 22:00,0.92
7/2/2021 22:30,0.916
7/2/2021 23:00,0.925
7/2/2021 23:30,0.925
7/3/2021 0:00,0.923
7/3/2021 0:30,0.918
7/3/2021 1:00,0.911
7/3/2021 1:30,0.903
7/3/2021 2:00,0.896
7/3/2021 2:30,0.887
7/3/2021 3:00,0.887
7/3/2021 3:30,0.887
7/3/2021 4:00,0.878
7/3/2021 4:30,0.88
7/3/2021 5:00,0.876
7/3/2021 5:30,0.865
7/3/2021 6:00,0.864
7/3/2021 6:30,0.864
7/3/2021 7:00,0.86
7/3/2021 7:30,0.858
7/3/2021 8:00,0.848
7/3/2021 8:30,0.853
7/3/2021 9:00,0.853
7/3/2021 9:30,0.846
7/3/2021 10:00,0.841
7/3/2021 10:30,0.835
7/3/2021 11:00,0.83
7/3/2021 11:30,0.826
7/3/2021 12:00,0.816
7/3/2021 12:30,0.804
7/3/2021 13:00,0.8
7/3/2021 13:30,0.79
7/3/2021 14:00,0.792
7/3/2021 14:30,0.788
7/3/2021 15:00,0.783
7/3/2021 15:30,0.781
7/3/2021 16:00,0.78
7/3/2021 16:30,0.781
7/3/2021 17:00,0.78
7/3/2021 17:30,0.778
7/3/2021 18:00,0.778
7/3/2021 18:30,0.778
7/3/2021 19:00,0.793
7/3/2021 19:30,0.788
7/3/2021 20:00,0.788
7/3/2021 20:30,0.788
7/3/2021 21:00,0.783
7/3/2021 21:30,0.78
7/3/2021 22:00,0.788
