Date (MM/DD/YYYY),Time (HH:mm:ss),Cond uS/cm,Depth m,fDOM QSU,fDOM RFU,nLF Cond uS/cm,ODO % sat,ODO % local,ODO mg/L,Pressure psi a,Sal psu,SpCond uS/cm,TDS mg/L,Turbidity FNU,TSS mg/L,Wiper Position volt,pH,pH mV,Temp C,Vertical Position m,Battery V,Cable Pwr V
7/11/2021,13:30:00,41.9,-1.016,51.33,17.11,53.8,72,86.7,7.41,-1.44,0.02,53,34,17494.09,0,1.21,4.42,138.4,14.06,-1.017,6.26,0
7/11/2021,13:35:00,42,-1.018,50.59,16.86,54.1,71.2,85.8,7.35,-1.444,0.02,53.2,35,17470.32,0,1.209,4.52,132.6,13.94,-1.021,6.25,0
7/11/2021,13:40:00,42.1,-1.017,51.28,17.09,54.4,70.6,85,7.3,-1.442,0.02,53.5,35,17441.23,0,1.209,4.66,124.9,13.828,-1.019,6.26,0
7/11/2021,13:45:00,42.4,-1.017,51.34,17.11,54.9,70.2,84.5,7.28,-1.442,0.02,54,35,17411.47,0,1.22,4.72,121.3,13.718,-1.019,6.25,0
7/11/2021,13:50:00,42.5,-1.018,51.33,17.11,55.2,70.1,84.4,7.28,-1.443,0.02,54.3,35,17384.98,0,1.208,4.74,119.8,13.612,-1.02,6.25,0
7/11/2021,13:55:00,42.6,-1.019,51.43,17.14,55.5,70,84.3,7.3,-1.445,0.02,54.6,36,17357.91,0,1.208,4.75,119.6,13.499,-1.021,6.25,0
7/11/2021,14:00:00,42.7,-1.019,51.12,17.04,55.7,69.9,84.2,7.31,-1.445,0.02,54.8,36,17329.91,0,1.208,4.75,119.6,13.386,-1.021,6.25,0
7/11/2021,14:05:00,42.7,-1.015,51.04,17.01,55.9,69.9,84.2,7.32,-1.439,0.02,55,36,17302.62,0,1.219,4.74,119.8,13.284,-1.017,6.25,0
7/11/2021,14:10:00,42.6,-1.016,51.14,17.05,55.9,69.9,84.2,7.33,-1.44,0.02,55,36,17280.98,0,1.22,4.74,120.1,13.189,-1.017,6.25,0
7/11/2021,14:15:00,42.4,-1.016,51.28,17.09,55.8,70,84.4,7.36,-1.441,0.02,54.9,36,17255.69,0,1.208,4.72,120.7,13.104,-1.018,6.26,0
7/11/2021,14:20:00,42.1,-1.015,51.51,17.17,55.5,70.4,84.8,7.41,-1.439,0.02,54.6,36,17232.44,0,1.208,4.71,121.4,13.036,-1.017,6.25,0
7/11/2021,14:25:00,42.1,-1.014,51.94,17.31,55.5,70.5,84.9,7.43,-1.437,0.02,54.6,35,17221.12,0,1.22,4.7,121.9,12.981,-1.016,6.25,0
7/11/2021,14:30:00,41.9,-1.014,51.68,17.23,55.4,70.5,84.9,7.44,-1.438,0.02,54.5,35,17207.65,0,1.207,4.69,122.3,12.922,-1.015,6.25,0
7/11/2021,14:35:00,41.8,-1.014,51.81,17.27,55.3,70.5,84.9,7.45,-1.438,0.02,54.4,35,17189.51,0,1.208,4.69,122.7,12.867,-1.015,6.25,0
7/11/2021,14:40:00,41.9,-1.013,52.02,17.34,55.5,70.3,84.6,7.44,-1.436,0.02,54.6,35,17177.12,0,1.207,4.68,123.1,12.802,-1.015,6.24,0
7/11/2021,14:45:00,41.9,-1.012,52.31,17.44,55.7,70.2,84.5,7.44,-1.434,0.02,54.7,36,17161.12,0,1.207,4.68,123.2,12.737,-1.013,6.25,0
7/11/2021,14:50:00,42.1,-1.01,52.36,17.45,56,70.2,84.6,7.46,-1.432,0.03,55.1,36,17144.7,0,1.207,4.67,123.4,12.672,-1.011,6.25,0
7/11/2021,14:55:00,42.1,-1.012,52.47,17.49,56.1,70.2,84.5,7.46,-1.435,0.03,55.1,36,17127.38,0,1.208,4.67,123.5,12.609,-1.014,6.24,0
7/11/2021,15:00:00,42.2,-1.014,52.67,17.56,56.3,70.2,84.5,7.47,-1.438,0.03,55.4,36,17113.12,0,1.208,4.67,123.6,12.549,-1.016,6.24,0
7/11/2021,15:05:00,42.2,-1.014,52.89,17.63,56.4,70.1,84.4,7.47,-1.438,0.03,55.5,36,17099.04,0,1.219,4.66,123.9,12.485,-1.016,6.25,0
7/11/2021,15:10:00,42.3,-1.015,52.96,17.65,56.6,70,84.3,7.47,-1.44,0.03,55.7,36,17080.1,0,1.22,4.66,124,12.419,-1.018,6.23,0
7/11/2021,15:15:00,42.4,-1.018,53.05,17.68,56.8,69.9,84.2,7.47,-1.443,0.03,55.9,36,17065.6,0,1.207,4.65,124.2,12.356,-1.019,6.24,0
7/11/2021,15:20:00,42.3,-1.016,53.12,17.71,56.8,69.9,84.2,7.48,-1.441,0.03,55.9,36,17047.48,0,1.207,4.65,124.4,12.295,-1.018,6.24,0
7/11/2021,15:25:00,42.3,-1.015,53.08,17.69,56.9,70,84.3,7.5,-1.439,0.03,55.9,36,17034.34,0,1.207,4.65,124.6,12.236,-1.016,6.24,0
7/11/2021,15:30:00,42.2,-1.016,53.08,17.69,56.9,70,84.3,7.51,-1.441,0.03,55.9,36,17019.41,0,1.219,4.65,124.7,12.18,-1.018,6.23,0
7/11/2021,15:35:00,42.3,-1.015,52.9,17.63,57,70,84.3,7.52,-1.44,0.03,56,36,17007.17,0,1.208,4.64,124.7,12.126,-1.017,6.24,0
7/11/2021,15:40:00,42.2,-1.019,52.87,17.62,57,70,84.3,7.53,-1.444,0.03,56,36,16993.04,0,1.208,4.64,124.8,12.069,-1.021,6.24,0
7/11/2021,15:45:00,42.2,-1.018,52.82,17.61,57.1,70,84.3,7.54,-1.444,0.03,56.1,36,16978.12,0,1.22,4.64,124.9,12.016,-1.02,6.23,0
7/11/2021,15:50:00,42.2,-1.016,52.74,17.58,57.1,70,84.3,7.55,-1.441,0.03,56.2,36,16966.39,0,1.219,4.64,125,11.968,-1.018,6.23,0
7/11/2021,15:55:00,42.2,-1.013,52.77,17.59,57.2,70,84.3,7.56,-1.437,0.03,56.2,37,16953.52,0,1.208,4.64,125,11.916,-1.016,6.24,0
7/11/2021,16:00:00,42.2,-1.012,52.83,17.61,57.3,70,84.4,7.57,-1.435,0.03,56.3,37,16941.9,0,1.219,4.64,125,11.865,-1.015,6.23,0
7/11/2021,16:05:00,42.1,-1.011,52.67,17.56,57.3,70,84.4,7.58,-1.433,0.03,56.3,37,16928.51,0,1.22,4.64,124.9,11.816,-1.012,6.24,0
7/11/2021,16:10:00,42.2,-1.013,52.75,17.58,57.5,70,84.3,7.58,-1.437,0.03,56.5,37,16917.25,0,1.219,4.64,124.9,11.765,-1.016,6.23,0
7/11/2021,16:15:00,42.2,-1.014,52.85,17.62,57.5,70,84.3,7.6,-1.438,0.03,56.5,37,16902.19,0,1.207,4.64,124.9,11.716,-1.017,6.23,0
7/11/2021,16:20:00,42.2,-1.017,52.92,17.64,57.6,70,84.3,7.6,-1.442,0.03,56.6,37,16888.74,0,1.208,4.64,124.9,11.667,-1.019,6.23,0
7/11/2021,16:25:00,42.1,-1.018,52.87,17.62,57.6,70.1,84.4,7.62,-1.444,0.03,56.6,37,16873.22,0,1.208,4.63,125,11.615,-1.021,6.23,0
7/11/2021,16:30:00,42.1,-1.018,52.86,17.62,57.6,70.1,84.4,7.63,-1.444,0.03,56.6,37,16864.69,0,1.207,4.63,125.1,11.57,-1.021,6.23,0
7/11/2021,16:35:00,41.9,-1.02,52.92,17.64,57.4,70.2,84.5,7.65,-1.446,0.03,56.5,37,16854.88,0,1.208,4.63,125.1,11.529,-1.022,6.22,0
7/11/2021,16:40:00,41.8,-1.021,52.77,17.59,57.3,70.4,84.7,7.67,-1.447,0.03,56.3,37,16842.52,0,1.207,4.63,125.2,11.491,-1.023,6.23,0
7/11/2021,16:45:00,41.7,-1.021,52.77,17.59,57.2,70.5,84.9,7.69,-1.448,0.03,56.2,37,16833.88,0,1.22,4.63,125.3,11.46,-1.024,6.23,0
7/11/2021,16:50:00,41.5,-1.02,52.76,17.59,56.9,70.9,85.3,7.73,-1.447,0.03,56,36,16828.86,0,1.207,4.63,125.3,11.443,-1.022,6.23,0
7/11/2021,16:55:00,41.2,-1.021,52.73,17.58,56.5,71.2,85.8,7.77,-1.448,0.03,55.6,36,16829.22,0,1.22,4.63,125.4,11.444,-1.023,6.22,0
7/11/2021,17:00:00,41,-1.022,52.85,17.62,56.3,71.3,85.9,7.78,-1.449,0.03,55.3,36,16827.02,0,1.22,4.62,125.6,11.457,-1.024,6.23,0
7/11/2021,17:05:00,40.9,-1.022,52.67,17.56,56.1,71.4,86,7.79,-1.449,0.03,55.1,36,16830.26,0,1.219,4.62,125.7,11.465,-1.024,6.22,0
7/11/2021,17:10:00,40.7,-1.021,52.55,17.52,55.9,71.3,85.9,7.78,-1.448,0.02,54.9,36,16830.58,0,1.208,4.62,125.8,11.462,-1.023,6.23,0
7/11/2021,17:15:00,40.7,-1.022,52.6,17.53,55.8,71.2,85.8,7.77,-1.449,0.02,54.9,36,16833.39,0,1.207,4.62,125.9,11.454,-1.023,6.22,0
7/11/2021,17:20:00,40.6,-1.022,52.54,17.51,55.8,71.3,85.8,7.78,-1.449,0.02,54.8,36,16830.59,0,1.207,4.62,125.9,11.452,-1.024,6.22,0
7/11/2021,17:25:00,40.6,-1.023,52.34,17.45,55.7,71.3,85.9,7.78,-1.45,0.02,54.8,36,16833.87,0,1.219,4.62,125.9,11.455,-1.025,6.22,0
7/11/2021,17:30:00,40.6,-1.022,52.32,17.44,55.7,71.4,86,7.79,-1.449,0.02,54.7,36,16832.8,0,1.207,4.61,126.1,11.478,-1.023,6.22,0
7/11/2021,17:35:00,40.5,-1.021,52.35,17.45,55.6,71.4,86,7.78,-1.448,0.02,54.6,35,16846.33,0,1.207,4.61,126.2,11.509,-1.021,6.22,0
7/11/2021,17:40:00,40.5,-1.021,52.32,17.44,55.5,71.4,86,7.78,-1.448,0.02,54.6,35,16854.48,0,1.207,4.61,126.3,11.533,-1.022,6.22,0
7/11/2021,17:45:00,40.6,-1.02,52.3,17.43,55.6,71.3,85.9,7.77,-1.447,0.02,54.6,36,16856.35,0,1.22,4.61,126.4,11.538,-1.023,6.22,0
7/11/2021,17:50:00,40.5,-1.022,52.25,17.42,55.5,71.4,85.9,7.77,-1.449,0.02,54.5,35,16858.08,0,1.207,4.61,126.4,11.53,-1.023,6.22,0
7/11/2021,17:55:00,40.5,-1.022,52.23,17.41,55.4,71.4,85.9,7.77,-1.449,0.02,54.5,35,16854.5,0,1.207,4.61,126.4,11.522,-1.024,6.22,0
7/11/2021,18:00:00,40.4,-1.021,52.11,17.37,55.4,71.3,85.8,7.76,-1.448,0.02,54.5,35,16848.68,0,1.218,4.61,126.4,11.509,-1.021,6.22,0
7/11/2021,18:05:00,40.4,-1.02,52.11,17.37,55.4,71.3,85.8,7.77,-1.447,0.02,54.5,35,16847.74,0,1.219,4.61,126.4,11.495,-1.021,6.22,0
7/11/2021,18:10:00,40.4,-1.02,52.01,17.34,55.4,71.2,85.8,7.77,-1.446,0.02,54.4,35,16847.54,0,1.219,4.61,126.3,11.478,-1.019,6.21,0
7/11/2021,18:15:00,40.3,-1.02,51.99,17.33,55.4,71.2,85.7,7.76,-1.447,0.02,54.4,35,16841.22,0,1.207,4.61,126.3,11.452,-1.022,6.22,0
7/11/2021,18:20:00,40.3,-1.02,51.87,17.29,55.4,71.1,85.7,7.77,-1.447,0.02,54.4,35,16833.22,0,1.22,4.61,126.2,11.429,-1.022,6.21,0
7/11/2021,18:25:00,40.3,-1.02,51.73,17.24,55.4,71.1,85.6,7.77,-1.447,0.02,54.5,35,16827.77,0,1.218,4.61,126.1,11.408,-1.022,6.21,0
7/11/2021,18:30:00,40.3,-1.022,51.72,17.24,55.4,71.1,85.6,7.77,-1.449,0.02,54.4,35,16826.41,0,1.208,4.62,126,11.388,-1.024,6.21,0
7/11/2021,18:35:00,40.3,-1.022,51.74,17.25,55.4,70.9,85.4,7.75,-1.449,0.02,54.4,35,16820.15,0,1.219,4.62,126,11.366,-1.024,6.22,0
7/11/2021,18:40:00,40.2,-1.023,51.85,17.28,55.4,70.8,85.3,7.75,-1.45,0.02,54.4,35,16811.57,0,1.208,4.62,125.9,11.34,-1.025,6.22,0
7/11/2021,18:45:00,40.3,-1.023,51.83,17.28,55.5,70.9,85.3,7.76,-1.451,0.02,54.5,35,16807.27,0,1.219,4.62,125.9,11.312,-1.024,6.21,0
7/11/2021,18:50:00,40.3,-1.025,51.85,17.28,55.5,70.8,85.3,7.76,-1.453,0.02,54.6,35,16802.31,0,1.208,4.62,125.9,11.287,-1.027,6.21,0
7/11/2021,18:55:00,40.3,-1.024,51.83,17.28,55.6,70.8,85.2,7.76,-1.453,0.02,54.6,35,16792.59,0,1.219,4.62,125.8,11.248,-1.027,6.22,0
7/11/2021,19:00:00,40.3,-1.024,51.89,17.3,55.7,70.7,85.2,7.76,-1.452,0.02,54.7,36,16785.06,0,1.209,4.62,125.8,11.214,-1.026,6.21,0
7/11/2021,19:05:00,40.3,-1.024,51.89,17.3,55.7,70.7,85.2,7.77,-1.453,0.02,54.8,36,16781.9,0,1.208,4.62,125.7,11.186,-1.027,6.21,0
7/11/2021,19:10:00,40.4,-1.024,51.9,17.3,55.9,70.6,85.1,7.76,-1.452,0.02,54.9,36,16771.4,0,1.207,4.62,125.6,11.149,-1.025,6.21,0
7/11/2021,19:15:00,40.3,-1.025,51.92,17.31,55.9,70.6,85,7.76,-1.453,0.02,54.9,36,16761.36,0,1.219,4.62,125.5,11.116,-1.026,6.21,0
7/11/2021,19:20:00,40.4,-1.026,52.02,17.34,56,70.5,84.9,7.76,-1.455,0.02,55,36,16753.78,0,1.208,4.62,125.4,11.082,-1.028,6.21,0
7/11/2021,19:25:00,40.4,-1.025,52.07,17.36,56.1,70.5,84.8,7.76,-1.454,0.03,55.1,36,16743.48,0,1.208,4.62,125.4,11.045,-1.027,6.21,0
7/11/2021,19:30:00,40.4,-1.025,51.93,17.31,56.2,70.5,84.8,7.77,-1.454,0.03,55.2,36,16734.56,0,1.208,4.63,125.3,11.008,-1.027,6.21,0
7/11/2021,19:35:00,40.4,-1.026,51.84,17.28,56.2,70.4,84.8,7.77,-1.455,0.03,55.2,36,16725.25,0,1.22,4.63,125.2,10.972,-1.027,6.21,0
