Date_Time,Q (L/s)
7/5/2023 20:00,8.84
7/5/2023 20:15,7.96
7/5/2023 20:30,8.50
7/5/2023 20:45,7.96
7/5/2023 21:00,8.31
7/5/2023 21:15,8.84
7/5/2023 21:30,8.50
7/5/2023 21:45,8.84
7/5/2023 22:00,8.31
7/5/2023 22:15,8.84
7/5/2023 22:30,8.31
7/5/2023 22:45,8.31
7/5/2023 23:00,8.84
7/5/2023 23:15,8.84
7/5/2023 23:30,8.84
7/5/2023 23:45,9.43
7/6/2023 0:00,8.84
7/6/2023 0:15,10.02
7/6/2023 0:30,8.84
7/6/2023 0:45,9.43
7/6/2023 1:00,9.43
7/6/2023 1:15,8.84
7/6/2023 1:30,8.84
7/6/2023 1:45,9.43
7/6/2023 2:00,8.84
7/6/2023 2:15,9.23
7/6/2023 2:30,9.23
7/6/2023 2:45,9.43
7/6/2023 3:00,9.43
7/6/2023 3:15,9.43
7/6/2023 3:30,9.43
7/6/2023 3:45,9.43
7/6/2023 4:00,9.23
7/6/2023 4:15,10.02
7/6/2023 4:30,9.43
7/6/2023 4:45,9.23
7/6/2023 5:00,9.85
7/6/2023 5:15,10.02
7/6/2023 5:30,10.02
7/6/2023 5:45,9.43
7/6/2023 6:00,9.23
7/6/2023 6:15,9.85
7/6/2023 6:30,9.85
7/6/2023 6:45,9.85
7/6/2023 7:00,10.24
7/6/2023 7:15,10.24
7/6/2023 7:30,9.23
7/6/2023 7:45,9.23
7/6/2023 8:00,9.85
7/6/2023 8:15,9.85
7/6/2023 8:30,9.85
7/6/2023 8:45,9.23
7/6/2023 9:00,9.85
7/6/2023 9:15,9.23
7/6/2023 9:30,9.23
7/6/2023 9:45,9.85
7/6/2023 10:00,9.85
7/6/2023 10:15,9.85
7/6/2023 10:30,8.84
7/6/2023 10:45,8.31
7/6/2023 11:00,8.31
7/6/2023 11:15,7.47
7/6/2023 11:30,7.47
7/6/2023 11:45,7.31
7/6/2023 12:00,7.81
7/6/2023 12:15,7.15
7/6/2023 12:30,6.70
7/6/2023 12:45,8.31
7/6/2023 13:00,7.47
7/6/2023 13:15,7.47
7/6/2023 13:30,6.55
7/6/2023 13:45,7.47
7/6/2023 14:00,7.47
7/6/2023 14:15,7.47
7/6/2023 14:30,7.96
7/6/2023 14:45,7.15
7/6/2023 15:00,6.26
7/6/2023 15:15,6.70
7/6/2023 15:30,6.70
7/6/2023 15:45,6.26
7/6/2023 16:00,7.15
7/6/2023 16:15,7.15
7/6/2023 16:30,6.70
7/6/2023 16:45,6.70
7/6/2023 17:00,7.64
7/6/2023 17:15,7.64
7/6/2023 17:30,7.31
7/6/2023 17:45,7.31
7/6/2023 18:00,7.15
7/6/2023 18:15,7.15
7/6/2023 18:30,6.41
7/6/2023 18:45,6.83
7/6/2023 19:00,7.64
7/6/2023 19:15,7.15
7/6/2023 19:30,7.15
7/6/2023 19:45,7.64
7/6/2023 20:00,7.15
7/6/2023 20:15,7.47
7/6/2023 20:30,7.96
7/6/2023 20:45,7.96
7/6/2023 21:00,7.47
7/6/2023 21:15,7.64
7/6/2023 21:30,8.50
7/6/2023 21:45,8.13
7/6/2023 22:00,8.50
7/6/2023 22:15,8.50
7/6/2023 22:30,7.96
7/6/2023 22:45,8.50
7/6/2023 23:00,8.50
7/6/2023 23:15,7.96
7/6/2023 23:30,7.96
7/6/2023 23:45,8.50
7/7/2023 0:00,7.96
7/7/2023 0:15,8.13
7/7/2023 0:30,8.50
7/7/2023 0:45,8.13
7/7/2023 1:00,8.50
7/7/2023 1:15,9.04
7/7/2023 1:30,8.50
7/7/2023 1:45,8.50
7/7/2023 2:00,8.50
7/7/2023 2:15,8.84
7/7/2023 2:30,8.50
7/7/2023 2:45,7.96
7/7/2023 3:00,8.84
7/7/2023 3:15,8.84
7/7/2023 3:30,8.50
7/7/2023 3:45,9.04
7/7/2023 4:00,8.50
7/7/2023 4:15,9.04
