Date_Time,Q (L/s)
6/15/2023 0:00,21.0658
6/15/2023 0:15,23.0384
6/15/2023 0:30,19.7644
6/15/2023 0:45,21.7444
6/15/2023 1:00,21.0658
6/15/2023 1:15,21.0658
6/15/2023 1:30,19.1409
6/15/2023 1:45,19.1409
6/15/2023 2:00,24.5259
6/15/2023 2:15,23.0384
6/15/2023 2:30,19.7644
6/15/2023 2:45,18.0434
6/15/2023 3:00,18.0434
6/15/2023 3:15,21.0658
6/15/2023 3:30,21.7444
6/15/2023 3:45,19.7644
6/15/2023 4:00,19.7644
6/15/2023 4:15,19.7644
6/15/2023 4:30,23.0384
6/15/2023 4:45,18.0434
6/15/2023 5:00,25.3001
6/15/2023 5:15,25.3001
6/15/2023 5:30,23.0384
6/15/2023 5:45,19.7644
6/15/2023 6:00,21.0658
6/15/2023 6:15,22.3245
6/15/2023 6:30,21.0658
6/15/2023 6:45,23.0384
6/15/2023 7:00,21.0658
6/15/2023 7:15,18.0434
6/15/2023 7:30,18.0434
6/15/2023 7:45,19.7644
6/15/2023 8:00,19.7644
6/15/2023 8:15,19.7644
6/15/2023 8:30,23.0384
6/15/2023 8:45,18.0434
6/15/2023 9:00,21.0658
6/15/2023 9:15,21.0658
6/15/2023 9:30,21.0658
6/15/2023 9:45,22.3245
6/15/2023 10:00,23.0384
6/15/2023 10:15,21.0658
6/15/2023 10:30,21.0658
6/15/2023 10:45,23.0384
6/15/2023 11:00,21.0658
6/15/2023 11:15,24.5259
6/15/2023 11:30,18.0434
6/15/2023 11:45,21.0658
6/15/2023 12:00,18.0434
6/15/2023 12:15,16.9110
6/15/2023 12:30,17.4689
6/15/2023 12:45,19.7644
6/15/2023 13:00,15.3331
6/15/2023 13:15,19.1409
6/15/2023 13:30,16.3693
6/15/2023 13:45,16.9110
6/15/2023 14:00,18.0434
6/15/2023 14:15,19.7644
6/15/2023 14:30,19.7644
6/15/2023 14:45,16.3693
6/15/2023 15:00,15.3331
6/15/2023 15:15,13.9679
6/15/2023 15:30,18.0434
6/15/2023 15:45,16.3693
6/15/2023 16:00,18.0434
6/15/2023 16:15,16.9110
6/15/2023 16:30,16.9110
6/15/2023 16:45,18.0434
6/15/2023 17:00,16.9110
6/15/2023 17:15,19.7644
6/15/2023 17:30,16.9110
6/15/2023 17:45,16.9110
6/15/2023 18:00,18.0434
6/15/2023 18:15,16.3693
6/15/2023 18:30,15.3331
6/15/2023 18:45,16.9110
6/15/2023 19:00,18.0434
6/15/2023 19:15,19.1409
6/15/2023 19:30,16.9110
6/15/2023 19:45,19.1409
6/15/2023 20:00,19.1409
6/15/2023 20:15,15.3331
6/15/2023 20:30,16.3693
6/15/2023 20:45,17.4689
6/15/2023 21:00,19.7644
6/15/2023 21:15,21.0658
6/15/2023 21:30,19.1409
6/15/2023 21:45,21.0658
6/15/2023 22:00,21.0658
6/15/2023 22:15,17.4689
6/15/2023 22:30,19.1409
6/15/2023 22:45,21.0658
6/15/2023 23:00,19.1409
6/15/2023 23:15,23.0384
6/15/2023 23:30,19.1409
6/15/2023 23:45,19.1409
6/16/2023 0:00,17.4689
6/16/2023 0:15,21.0658
6/16/2023 0:30,19.1409
6/16/2023 0:45,20.4059
6/16/2023 1:00,20.4059
6/16/2023 1:15,17.4689
6/16/2023 1:30,22.3245
6/16/2023 1:45,19.1409
6/16/2023 2:00,19.1409
6/16/2023 2:15,19.1409
6/16/2023 2:30,21.0658
6/16/2023 2:45,23.7721
6/16/2023 3:00,19.1409
6/16/2023 3:15,19.1409
6/16/2023 3:30,24.5259
6/16/2023 3:45,20.4059
6/16/2023 4:00,20.4059
6/16/2023 4:15,24.5259
6/16/2023 4:30,22.3245
6/16/2023 4:45,22.3245
6/16/2023 5:00,25.9612
6/16/2023 5:15,19.1409
6/16/2023 5:30,22.3245
6/16/2023 5:45,20.4059
6/16/2023 6:00,22.3245
6/16/2023 6:15,22.3245
6/16/2023 6:30,20.4059
6/16/2023 6:45,19.1409
6/16/2023 7:00,23.7721
6/16/2023 7:15,22.3245
6/16/2023 7:30,20.4059
6/16/2023 7:45,24.5259
6/16/2023 8:00,18.5351
6/16/2023 8:15,22.3245
6/16/2023 8:30,18.5351
6/16/2023 8:45,19.1409
6/16/2023 9:00,18.5351
6/16/2023 9:15,18.5351
6/16/2023 9:30,20.4059
6/16/2023 9:45,17.4689
6/16/2023 10:00,19.1409
6/16/2023 10:15,17.4689
6/16/2023 10:30,22.3245
6/16/2023 10:45,19.1409
6/16/2023 11:00,20.4059
6/16/2023 11:15,19.1409
6/16/2023 11:30,22.3245
6/16/2023 11:45,14.9194
6/16/2023 12:00,21.0658
6/16/2023 12:15,15.8435
6/16/2023 12:30,16.9110
6/16/2023 12:45,13.5135
6/16/2023 13:00,16.3693
6/16/2023 13:15,14.9194
6/16/2023 13:30,15.8435
6/16/2023 13:45,16.3693
6/16/2023 14:00,14.4364
6/16/2023 14:15,19.1409
6/16/2023 14:30,13.5135
6/16/2023 14:45,19.1409
6/16/2023 15:00,17.4689
6/16/2023 15:15,14.9194
6/16/2023 15:30,17.4689
6/16/2023 15:45,15.8435
6/16/2023 16:00,13.5135
6/16/2023 16:15,14.4364
6/16/2023 16:30,15.8435
6/16/2023 16:45,13.9679
6/16/2023 17:00,14.9194
6/16/2023 17:15,13.9679
6/16/2023 17:30,14.9194
6/16/2023 17:45,17.4689
