Date_Time,Turbidity,SS (uL/L)
7/23/2021 15:50,88.9608,339.78248
7/23/2021 16:09,295.5888,457.12
7/23/2021 16:40,75.484,152.79
7/23/2021 16:55,69.55,168.45
7/23/2021 19:19,22.234,43.15
7/23/2021 21:02,18.908,17.7
8/3/2022 15:02,21.59,206.82
8/3/2022 15:17,19.968,142.53
8/3/2022 15:32,11.66,31.82
8/3/2022 15:47,10.484,55.06
8/3/2022 16:02,10.468,36.44
8/3/2022 16:17,13.014,66.04
8/3/2022 16:32,16.202,39.15
8/3/2022 17:02,13.67,23.32
8/8/2022 14:28,14.478,204.03
8/8/2022 14:43,22.442,105.77
8/8/2022 15:23,13.926,68.83
8/8/2022 16:13,9.508,36.65
8/8/2022 16:28,8.677333333,25.92
8/8/2022 16:58,7.599333333,19.05
8/8/2022 17:28,6.719333333,18.36
4/18/2023 0:30,12.730442,59.16
4/18/2023 4:30,12.263458,48.47
4/18/2023 16:30,20.536188,78.71
4/18/2023 21:30,13.492994,45.42
4/19/2023 2:30,11.935922,74.75
4/19/2023 12:30,10.448042,56.59
4/21/2023 9:30,7.64461586,27.23
4/30/2023 18:00,63.186318,63.56
4/30/2023 23:00,18.03844,85.89
5/1/2023 14:00,13.443178,50.13
5/1/2023 20:00,24.053342,44.99
5/2/2023 3:00,13.279764,35.73
5/2/2023 10:00,8.0217294,31.62
5/2/2023 17:00,10.49208,25.42
5/3/2023 20:00,18.7132092,68.76
5/4/2023 2:00,13.83131,50.92
5/4/2023 23:00,9.214519656,33.08
5/5/2023 2:00,8.64363684,77.49
7/29/2023 15:07,36.38,223.614
7/29/2023 15:22,34.868,200.69
7/29/2023 15:37,33.26,231.914
7/29/2023 15:52,26.348,233.253
7/29/2023 16:07,20.136,124.56
8/13/2023 18:45,22.84,210.458
8/13/2023 18:58,15.56,116.066
8/13/2023 19:02,13.776,113.258
8/13/2023 19:10,11.31,81.15
8/13/2023 21:02,8.756,56.15
9/14/2023 17:52,1.617557913,63.87
9/14/2023 18:07,1.613632184,75.4
9/14/2023 18:22,1.609706454,70.75
9/14/2023 18:27,1.608397878,61.61
9/14/2023 18:37,1.605780725,82.6
9/14/2023 18:52,1.601854996,54.12
