Date_Time,Turbidity,SS (uL/L),sediment
2023-04-18 16:30:00,28.755143333333336,93.48,21.5
2023-04-18 21:30:00,17.720414,53.79,11.05
2023-04-19 02:30:00,10.725819333333334,47.58,18.0
2023-04-19 07:30:00,11.013855333333334,30.72,6.5
2023-04-19 22:30:00,9.5457912,22.36,6.0
2023-04-20 03:30:00,10.8071176,30.83,8.89
2023-04-20 23:30:00,13.855930533333334,24.91,4.67
2023-04-21 19:30:00,11.7388058,67.13,17.86
2023-04-22 05:30:00,7.8816796,51.68,6.67
2023-04-22 15:30:00,9.912716266666665,57.56,5.33
2023-04-22 20:30:00,9.937147333333334,63.54,8.0
2023-04-24 02:00:00,7.851839466666666,66.59,8.67
2023-04-24 17:00:00,13.038916666666667,27.12,15.0
2023-04-24 22:00:00,9.265761653333332,14.59,7.14
2023-04-28 16:00:00,9.838444733333334,56.02,6.67
2023-04-30 13:00:00,9.533501600000001,43.66,12.67
2023-04-30 18:00:00,40.720068000000005,85.5,45.0
2023-05-01 20:00:00,20.458221333333334,64.14,20.0
2023-05-03 14:00:00,8.336210719999999,39.62,10.67
2023-05-03 20:00:00,22.230606,87.1,24.37
2023-05-04 20:00:00,12.699106666666667,25.16,0.71
2023-05-05 11:00:00,6.537635133333334,25.61,0.67
2023-07-29 15:16:00,37.516,327.453,100.0
2023-07-29 15:31:00,36.156,241.809,105.56
2023-07-29 15:46:00,29.958000000000002,158.525,50.0
2023-07-29 16:01:00,22.630000000000003,132.472,68.89
2023-07-29 16:16:00,18.118000000000002,98.91,51.11
2023-07-29 16:31:00,15.154,90.357,45.26
2023-07-29 16:46:00,13.312,84.562,20.0
2023-07-29 17:16:00,11.456,59.01,15.45
2023-07-29 17:46:00,10.780000000000001,42.72,26.0
2023-07-29 18:31:00,11.886,98.146,21.0
2023-08-13 18:45:00,4.74,183.808,43.2
2023-08-13 19:00:00,4.74,83.528,29.23
2023-08-13 19:15:00,4.74,72.105,25.0
2023-08-13 19:30:00,4.74,67.607,23.75
2023-08-13 19:45:00,4.74,70.3,22.22
2023-08-13 20:00:00,4.74,67.88,22.22
2023-08-13 20:15:00,4.74,84.66,21.9
2023-08-13 20:30:00,4.74,67.57,18.0
2023-08-13 20:45:00,4.74,54.936,20.5
2023-08-13 21:00:00,4.74,75.338,12.56
2023-08-13 21:15:00,4.74,59.166,18.0
2023-08-13 21:30:00,4.74,50.774,20.0
2023-08-28 12:20:00,2.456603475513428,232.052,77.89
2023-08-28 12:35:00,2.4563665086887836,143.896,43.0
2023-08-28 12:50:00,2.456129541864139,104.006,36.0
2023-08-28 13:05:00,2.4558925750394947,88.144,28.84
2023-08-28 13:20:00,2.4556556082148497,92.256,29.55
2023-08-28 14:05:00,2.4549447077409163,82.494,26.84
2023-08-28 14:35:00,2.454470774091627,69.395,24.0
2023-09-14 17:45:00,12.23,95.963,30.77
2023-09-14 18:00:00,14.09,80.18,30.19
2023-09-14 18:15:00,13.07,70.51,29.17
2023-09-14 18:45:00,10.54,64.437,20.42
2023-09-14 19:15:00,8.47,46.07,18.0
